Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
Dublin Inchicore Davitt Road,2013,PM10,13.188,-6.309,53.3363
Cork Ballinlough Heatherton Park,2013,PM10,15.104,-8.4571,51.8819
Galway City Bodkin Roundabout,2013,PM10,20.782,-9.0492,53.2817
Dublin Raheny Saint Anne's Park,2013,PM10,19.388,-6.1726,53.3688
Cork South Link Road Landfill,2013,PM10,18.652,-8.475,51.9111
Dublin Winetavern Street,2013,PM10,13.647,-6.2889,53.3417
Dublin Ballyfermot Library,2013,PM10,12.226,-6.3523,53.3405
Dublin Finglas Mellowes Road,2013,PM10,14.664,-6.3053,53.3903
Monaghan Kilkitt Waterworks,2013,PM10,10.503,-6.8831,54.0661
Wicklow Bray Wurzburg Road,2013,PM10,19.779,-6.1217,53.1872
Mayo Castlebar John Moore Road,2013,PM10,14.894,-9.2997,53.8511
Dublin Tallaght Old Bawn Road,2013,PM10,16.724,-6.3588,53.2805
Mayo Claremorris,2013,PM10,13.232,-9.0127,53.7039
Dublin Blanchardstown River Road,2013,PM10,19.813,-6.3699,53.3856
Dublin Dun Laoghaire The Glen,2013,PM10,17.176,-6.1319,53.2858
Dublin Rathmines Wynnefield Road,2013,PM10,16.463,-6.2672,53.322
Cork South Link Road Landfill,2014,PM10,19.329,-8.475,51.9111
Dublin Raheny Saint Anne's Park,2014,PM10,17.25,-6.1726,53.3688
Dublin Inchicore Davitt Road,2014,PM10,12.729,-6.309,53.3363
Galway City Bodkin Roundabout,2014,PM10,15.048,-9.0492,53.2817
Cork Ballinlough Heatherton Park,2014,PM10,16.192,-8.4571,51.8819
Laois Portlaoise Dublin Road,2014,PM10,24.246,-7.2887,53.0361
Monaghan Kilkitt Waterworks,2014,PM10,8.893,-6.8831,54.0661
Mayo Claremorris,2014,PM10,9.467,-9.0127,53.7039
Dublin Tallaght Old Bawn Road,2014,PM10,14.678,-6.3588,53.2805
Dublin Dun Laoghaire The Glen,2014,PM10,13.78,-6.1319,53.2858
Dublin Blanchardstown River Road,2014,PM10,17.54,-6.3699,53.3856
Wicklow Bray Wurzburg Road,2014,PM10,16.9,-6.1217,53.1872
Dublin Winetavern Street,2014,PM10,13.971,-6.2889,53.3417
Wexford Enniscorthy Parnell Road,2014,PM10,13.794,-6.5708,52.4985
Dublin Inchicore Davitt Road,2015,PM10,13.235,-6.309,53.3363
Cork South Link Road Landfill,2015,PM10,17.125,-8.475,51.9111
Dublin Phoenix Park Ordnance Survey Road,2015,PM10,11.568,-6.349,53.3644
Dublin Raheny Saint Anne's Park,2015,PM10,15.198,-6.1726,53.3688
