Year,Location,Latitude,Longitude,Covariate,Value
2015,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,17.724
2015,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,10.493
2016,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,10.505
2016,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,10.651
2016,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,11.501
2016,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,15.261
2016,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,13.477
2016,Cork South Link Road Landfill,51.9111,-8.475,PM10,17.902
2016,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,14.148
2016,Mayo Claremorris,53.7039,-9.0127,PM10,10.131
2016,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,11.666
2016,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,17.288
2016,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,17.233
2016,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,11.901
2016,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,12.871
2016,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,14.888
2016,Dublin Winetavern Street,53.3417,-6.2889,PM10,14.028
2016,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,17.547
2016,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,8.145
2017,Cork South Link Road Landfill,51.9111,-8.475,PM10,17.242
2017,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,10.39
2017,Dublin Winetavern Street,53.3417,-6.2889,PM10,12.934
2017,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,9.075
2017,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,13.409
2017,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,11.992
2017,Mayo Claremorris,53.7039,-9.0127,PM10,10.799
2017,Clare Ennis Drumbiggle Road,52.8432,-8.9893,PM10,15.774
2017,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,7.834
2017,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,11.785
2017,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,11.154
2017,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,13.396
2017,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,11.785
2017,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,14.968
2017,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,13.439
2017,Dublin Ringsend recycling Centre,53.3419,-6.2141,PM10,13.396
2018,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,10.697
2018,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,15.832
2018,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,10.522
2018,Waterford Waterford City Paddy Brownes Road,52.2471,-7.1516,PM10,13.473
2018,Dublin Marino Brian Road,53.3682,-6.2279,PM10,12.149
2018,Cork South Link Road Landfill,51.9111,-8.475,PM10,16.862
2018,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,12.8
2018,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,13.82
2018,Galway Galway City Rahoon Road,53.2736,-9.0859,PM10,14.937
